epoch,acc,loss,val_acc,val_loss
0,0.9342833333333334,0.21303485052424173,0.9748333333333333,0.08074031359255314
1,0.9672166666666666,0.10608645213850153,0.98465,0.04768489297541479
2,0.9754166666666667,0.07911307786951463,0.9866,0.04282581687367832
3,0.9794666666666667,0.06747091284221969,0.98815,0.03653183168588245
4,0.9821833333333333,0.05825475293000927,0.99035,0.030826976813127595
5,0.9838666666666667,0.052179430195596066,0.99265,0.0233359014282265
6,0.9856,0.04582096361686903,0.9919666666666667,0.02610435526691193
7,0.9855333333333334,0.045342087748839306,0.9942166666666666,0.01785704871871094
8,0.9879833333333333,0.038471216090467227,0.9956166666666667,0.013455364814485726
9,0.9879,0.04042725587382811,0.9953,0.01460545033745534
10,0.98945,0.035243903271704825,0.9955333333333334,0.013954503318914294
11,0.9902833333333333,0.0328338852405452,0.9971166666666667,0.009884308931152077
12,0.9895,0.035579617627363794,0.9978,0.0074799111422388705
13,0.9918666666666667,0.02885765536821297,0.9958,0.013607417385310199
14,0.99085,0.031415931585540874,0.9972,0.00884780275747562
15,0.9914166666666666,0.02980208549420566,0.9969,0.011313011379711815
16,0.9910833333333333,0.03212767998834228,0.9977,0.007825769262948014
17,0.9919,0.030413294989989202,0.9975,0.008590611670215534
18,0.9926666666666667,0.02642741030845224,0.9975333333333334,0.008126294034989814
19,0.9924666666666667,0.026982594832559863,0.99775,0.00774518699199754
