epoch,acc,loss
0,0.9343833333333333,0.21466595323880514
1,0.9683,0.10261396767608821
2,0.97505,0.07890704990162437
3,0.9789166666666667,0.06688866110822031
4,0.98225,0.058106136111150654
5,0.9842166666666666,0.05084119798678439
6,0.9852666666666666,0.04833898440644892
7,0.98705,0.042232064814432424
8,0.9883333333333333,0.039940954262116184
9,0.9893833333333333,0.03531301547566794
10,0.9885,0.03846508116066528
11,0.9895333333333334,0.03440225079505602
12,0.99015,0.034009607063761965
13,0.9902833333333333,0.03171694078952789
14,0.9920166666666667,0.028615380410106174
15,0.9910666666666667,0.03171257974821819
16,0.9920666666666667,0.028893742214902114
17,0.9929666666666667,0.025344837057669784
18,0.9922,0.029232623071353644
19,0.9934166666666666,0.025089814282189187
