epoch,acc,loss
0,0.9355,0.21344896667574842
1,0.9675166666666667,0.10553039513894667
2,0.9748666666666667,0.08128556511811912
3,0.9792166666666666,0.06610950712322568
4,0.9812833333333333,0.05883385223918983
5,0.9843833333333334,0.049979594461488884
6,0.9854,0.04650446685319767
7,0.9868166666666667,0.04310422552953508
8,0.9879833333333333,0.03880951278066301
9,0.9890666666666666,0.03789857835793718
10,0.9896333333333334,0.03472140445172712
11,0.9904166666666666,0.03315663812855067
12,0.9902333333333333,0.033810641057005805
13,0.9908333333333333,0.03189816941057585
14,0.9908166666666667,0.030546644833577784
15,0.9919833333333333,0.029932937686210304
16,0.9917666666666667,0.03100678651115345
17,0.9916833333333334,0.029877318429128347
18,0.9930166666666667,0.02539919919268497
19,0.992,0.029866640191311467
