epoch,acc,loss
0,0.9341666666666667,0.2149463582371672
1,0.9672166666666666,0.10767137067085132
2,0.9754833333333334,0.07983453544362759
3,0.9791833333333333,0.06488729099283616
4,0.9818833333333333,0.05683435960081794
5,0.9838,0.05211538854291818
6,0.9854,0.04559934825369534
7,0.9869833333333333,0.04124462077764619
8,0.9879666666666667,0.04000243502105147
9,0.9878666666666667,0.039016737580121634
10,0.98875,0.037221600714728416
11,0.9894666666666667,0.03662137077093945
12,0.9911333333333333,0.031365897525420086
13,0.9911166666666666,0.030951062478247027
14,0.9904333333333334,0.03304941787447736
15,0.9912666666666666,0.030299801700674638
16,0.9926166666666667,0.028293877325051297
17,0.9916333333333334,0.030877459524794874
18,0.9913333333333333,0.03079822967056742
19,0.9929333333333333,0.026911801021368555
