epoch,acc,loss
0,0.9344666666666667,0.2166492482452343
1,0.96795,0.10371381846163422
2,0.9747833333333333,0.08166599009297788
3,0.9798333333333333,0.06463329974223549
4,0.9820666666666666,0.05729089099752988
5,0.9843666666666666,0.05112581551749463
6,0.9854,0.047288263752372585
7,0.9874833333333334,0.040408259837139
8,0.9882333333333333,0.03907320154231286
9,0.9891666666666666,0.036500312828403304
10,0.9898166666666667,0.037188495850704446
11,0.9894666666666667,0.03458715002759309
12,0.9900833333333333,0.03388372500312317
13,0.9906333333333334,0.03102065766013114
14,0.9907166666666667,0.03454411687980918
15,0.9914166666666666,0.02972635078693735
16,0.9925,0.025532892559078715
17,0.9922666666666666,0.02876235978859979
18,0.9924666666666667,0.026006042313293634
19,0.9922666666666666,0.02981177264260235
