epoch,acc,loss,val_acc,val_loss
0,0.9351,0.2132756830945611,0.9688666666666667,0.0998355434473604
1,0.9669833333333333,0.10623585861505319,0.9766333333333334,0.07146665574105766
2,0.9751833333333333,0.07951286312364973,0.9820666666666666,0.05588533226857738
3,0.9778666666666667,0.0694180372167534,0.9890166666666667,0.03461434985450857
4,0.9828166666666667,0.056627136638170726,0.9912666666666666,0.028298693550237414
5,0.9840833333333333,0.053241586639761224,0.99265,0.02386139235501129
6,0.9848333333333333,0.049260735641456756,0.9933833333333333,0.02096707829271145
7,0.9863166666666666,0.044977826396705736,0.9954166666666666,0.01480312078028631
8,0.9877,0.040671996640085126,0.9939833333333333,0.018369652637684704
9,0.98815,0.037838249251777235,0.9938,0.017666223234580836
10,0.9883,0.037363918486081636,0.9964,0.011498322014957558
11,0.9896,0.03384988910795241,0.9949166666666667,0.015157964376113121
12,0.99075,0.031045412943277596,0.9959166666666667,0.012683369328394815
13,0.9912333333333333,0.031209281961566405,0.9955333333333334,0.014418375471094836
14,0.99095,0.03333467980319953,0.9964333333333333,0.011728496653565556
15,0.9914666666666667,0.029794106216011057,0.9970666666666667,0.008879739220059522
16,0.9924833333333334,0.02736899792513469,0.9960833333333333,0.01231192744280661
17,0.9921666666666666,0.029634143171824046,0.9972833333333333,0.008653358233767578
18,0.9924166666666666,0.02728637169798572,0.997,0.009963235565130466
19,0.9927166666666667,0.027886108156617306,0.99705,0.009579481881038236
